P,bits,policy,seed,storage,auc,tpr_at_fpr,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
500,2,wrap,4,ap_int<2>,0.494177,0.038,-6.144,142.957,-0.468,143.8,84,8,1
500,2,saturate,0,ap_int<2>,0.991054,0.946,532.484,162.458,-4.024,156.086,100,8,1
500,2,saturate,1,ap_int<2>,0.992493,0.954,533.704,161.367,0.202,154.114,92,8,1
500,2,saturate,2,ap_int<2>,0.99247,0.964,537.332,152.855,-0.212,157.743,90,8,1
500,2,saturate,3,ap_int<2>,0.990093,0.946,532.924,161.558,-0.076,153.946,88,8,1
500,2,saturate,4,ap_int<2>,0.994095,0.978,539.248,156.031,-2.448,153.555,84,8,1
500,2,scale,0,ap_int<2>,0.888444,0.528,25.196,14.357,-0.012,14.807,100,8,1
500,2,scale,1,ap_int<2>,0.936747,0.73,39.28,19.09,-0.944,18.495,92,8,1
500,2,scale,2,ap_int<2>,0.947458,0.718,48.368,21.192,0.992,20.673,90,8,1
500,2,scale,3,ap_int<2>,0.930366,0.678,41.36,19.592,1.102,19.027,88,8,1
500,2,scale,4,ap_int<2>,0.962801,0.804,59.032,23.46,-0.802,24.139,84,8,1
500,4,wrap,0,ap_int<4>,0.500344,0.048,-0.896,462.016,0.036,471.1,100,8,1
500,4,wrap,1,ap_int<4>,0.509268,0.066,-1.352,477.779,-21.124,446.064,92,8,1
500,4,wrap,2,ap_int<4>,0.502394,0.06,11.368,478.603,7.928,465.281,90,8,1
500,4,wrap,3,ap_int<4>,0.510259,0.036,-7.496,470.998,-25.072,480.945,88,8,1
500,4,wrap,4,ap_int<4>,0.501203,0.036,-11.248,465.106,-6.868,468.832,84,8,1
500,4,saturate,0,ap_int<4>,0.996196,0.984,2616.836,695.983,-10.704,689.56,100,8,1
500,4,saturate,1,ap_int<4>,0.997287,0.992,2626.876,696.776,4.016,678.703,92,8,1
500,4,saturate,2,ap_int<4>,0.997343,0.988,2643.652,667.18,-8.604,691.645,90,8,1
500,4,saturate,3,ap_int<4>,0.995658,0.97,2615.972,712.096,1.044,683.867,88,8,1
500,4,saturate,4,ap_int<4>,0.997592,0.986,2656.432,683.107,-9.21,675.609,84,8,1
500,4,scale,0,ap_int<4>,0.999154,0.998,703.124,156.284,0.442,168.559,100,8,1
500,4,scale,1,ap_int<4>,0.999254,1.0,767.492,173.483,-0.766,172.719,92,8,1
500,4,scale,2,ap_int<4>,0.999612,1.0,778.98,170.862,-1.044,174.351,90,8,1
